census_tract,total_people,parks,shelter_beds,building_permits,foreclosures
139701,0,25,0,8680,139
139702,0,25,0,8680,139
139703,0,21,0,8331,167
139801,0,5,0,4444,91
139802,0,5,0,4444,91
141101,2,8,0,5850,54
141102,3,8,0,5850,54
141201,15,10,0,10345,100
141202,0,8,0,5850,54
141302,8,2,0,4495,46
141303,0,2,0,4495,46
141304,9,2,0,4495,46
141400,11,11,0,9288,109
141500,3,20,0,19487,165
141600,1,13,0,13812,125
141700,0,8,20,5850,54
143100,12,4,0,2958,25
143200,6,14,0,9580,85
143300,9,14,0,13230,143
143400,2,18,0,16122,172
143500,10,18,0,12472,114
143602,2,10,0,6622,60
143603,2,14,0,9580,85
143604,38,10,0,6622,60
143700,15,26,0,18724,189
143800,5,14,0,11869,126
143901,6,22,0,16292,148
143902,35,18,0,15605,139
181000,37,13,72,3723,51
181300,8,33,0,8839,121
181400,13,13,0,3714,51
181500,9,34,0,9393,143
181600,23,34,0,9393,143
183101,13,21,0,5679,92
183103,14,21,0,5679,92
183104,11,21,0,5688,92
183220,0,21,0,5679,92
183221,0,21,0,5679,92
183222,11,34,0,9393,143
183300,2,21,0,5679,92
183401,14,21,0,5679,92
183402,5,34,0,9393,143
183510,2,21,0,5679,92
183520,3,21,0,5679,92
183610,22,21,0,5679,92
183620,3,21,0,5679,92
183701,3,21,0,5679,92
183702,2,21,0,5679,92
183810,3,21,0,5679,92
183820,7,21,0,5679,92
185100,35,67,0,13415,208
185202,1,20,0,5125,70
185203,13,20,0,5125,70
185204,0,20,0,5125,70
185310,14,20,0,5125,70
185320,24,20,0,5125,70
186100,1,33,0,8839,121
186201,10,54,0,14518,213
186202,0,20,0,5125,70
186203,8,41,0,10804,162
186301,0,20,0,5125,70
186302,15,20,0,5125,70
186401,4,20,0,5125,70
186403,8,20,0,5125,70
186404,4,20,0,5125,70
187101,0,11,0,4867,51
187102,2,31,0,9992,121
187200,5,11,0,4867,51
187300,32,11,0,4867,51
188100,68,11,36,4867,51
188201,4,52,0,10460,98
188202,1,41,0,5593,47
188300,10,11,0,4867,51
189101,24,41,0,5593,47
189102,0,41,0,5593,47
189201,17,41,0,5593,47
189202,5,41,0,5593,47
189300,0,53,0,16779,122
189400,2,4,12,5247,66
189500,0,12,27,11186,75
189600,8,12,0,11186,75
189701,9,4,0,5247,66
189702,5,12,0,11186,75
189800,8,12,0,6537,63
189902,6,12,30,6537,63
189903,1,12,0,6537,63
189904,9,20,0,12476,72
189905,2,12,0,6537,63
190100,30,8,0,5939,9
190201,50,8,0,5939,9
190202,11,8,0,5939,9
190301,29,8,16,5939,9
190401,20,41,0,5593,47
190402,7,41,0,5593,47
190510,12,49,0,11532,56
190520,4,41,0,5593,47
190700,135,8,76,5939,9
190801,56,13,0,9276,27
190802,72,13,0,9276,27
190901,145,13,192,9276,27
190902,39,13,61,9276,27
191000,212,8,215,5939,9
191110,28,46,0,7838,81
191120,24,5,0,2245,34
191201,104,41,50,5593,47
191203,5,5,0,2245,34
191204,29,5,0,2245,34
191301,28,5,0,2245,34
191302,54,46,0,7838,81
191410,21,5,0,2245,34
191420,36,5,0,2245,34
191500,25,5,0,2245,34
191610,44,5,0,2245,34
191620,38,5,0,2245,34
191710,14,5,0,3337,18
191720,5,5,0,3337,18
191810,23,5,32,3337,18
191820,28,5,0,3337,18
191901,127,5,0,3337,18
191902,16,17,0,15212,97
192001,5,27,0,16487,109
192002,12,22,0,13150,91
192300,0,7,0,8599,69
192410,0,7,0,8599,69
